TT,07,27,21,15,51,31,820731
o,24981,5727344,5727356
o,24982,5733902,5733914
o,24983,5740564,5740576
o,24984,5747228,5747240
o,24985,5754050,5754062
o,24986,5760712,5760724
o,24987,5767374,5767386
o,24988,5774036,5774048
o,24989,5780698,5780710
o,24990,5787360,5787372
o,24991,5793804,5793816
o,24992,5800466,5800478
o,24993,5807128,5807140
o,24994,5813792,5813804
o,24995,5820452,5820464
o,24996,5827114,5827126
o,24997,5833776,5833788
o,24998,5840438,5840450
o,24999,5847100,5847112
o,25000,5853762,5853774
o,25001,5860424,5860436
o,25002,5867086,5867098
o,25003,5873748,5873760
o,25004,5880334,5880346
o,25005,5887150,5887162
o,25006,5893812,5893824
o,25007,5900476,5900488
o,25008,5907140,5907152
o,25009,5913802,5913814
EC, 326,8699,   0,9026
ER,8808, 209,   8
o,25010,5920466,5920478
o,25011,5927128,5927140
o,25012,5933790,5933802
o,25013,5940452,5940464
o,25014,5947116,5947128
o,25015,5953548,5953560
o,25016,5960208,5960220
o,25017,5966870,5966882
o,25018,5973532,5973544
o,25019,5980196,5980208
o,25020,5986858,5986870
o,25021,5993520,5993532
o,25022,6000182,6000194
o,25023,6006842,6006854
o,25024,6013506,6013518
o,25025,6020324,6020336
o,25026,6026986,6026998
o,25027,6033420,6033432
o,25028,6040082,6040094
o,25029,6046744,6046756
o,25030,6053406,6053418
o,25031,6060068,6060080
o,25032,6066728,6066740
o,25033,6073390,6073402
o,25034,6080054,6080066
o,25035,6086714,6086726
o,25036,6093374,6093386
o,25037,6100034,6100046
o,25038,6106696,6106708
o,25039,6113358,6113370
o,25040,6119948,6119960
o,25041,6126608,6126620
o,25042,6133270,6133282
o,25043,6139932,6139944
o,25044,6146596,6146608
o,25045,6153412,6153424
o,25046,6160074,6160086
o,25047,6166736,6166748
o,25048,6173398,6173410
o,25049,6180060,6180072
o,25050,6186722,6186734
o,25051,6193384,6193396
o,25052,6199820,6199832
o,25053,6206480,6206492
o,25054,6213144,6213156
o,25055,6219804,6219816
o,25056,6226466,6226478
o,25057,6233128,6233140
o,25058,6239790,6239802
o,25059,6246452,6246464
o,25060,6253112,6253124
o,25061,6259774,6259786
o,25062,6266436,6266448
o,25063,6273098,6273110
o,25064,6279694,6279706
o,25065,6286870,6286882
o,25066,6293532,6293544
o,25067,6300194,6300206
o,25068,6306856,6306868
o,25069,6313518,6313530
o,25070,6320180,6320192
a,25071,6326842,6326854
o,25072,6333504,6333516
o,25073,6340166,6340178
o,25074,6346830,6346842
o,25075,6353420,6353432
o,25076,6360082,6360094
o,25077,6366744,6366756
o,25078,6373406,6373418
o,25079,6380044,6380056
o,25080,6386706,6386718
o,25081,6393368,6393380
o,25082,6400030,6400042
o,25083,6406692,6406704
o,25084,6413358,6413370
o,25085,6420534,6420546
o,25086,6427196,6427208
,25087,6433858,6433870
o,25088,6440522,6440534
o,25089,6447184,6447196
o,25090,6453846,6453858
o,25091,6460508,6460520
o,25092,6467170,6467182
o,25093,6473832,6473844
o,25094,6480496,6480508
o,25095,6487156,6487168
o,25096,6493708,6493720
o,25097,6500370,6500382
o,25098,6507032,6507044
o,25099,6513692,6513704
o,25100,6520354,6520366
o,25101,6527016,6527028
o,25102,6533678,6533690
o,25103,6540340,6540352
o,25104,6547002,6547014
o,25105,6553834,6553846
o,25106,6560270,6560282
o,25107,6566932,6566944
EC, 368,9658,   0,10026
ER,9779, 239,   8
o,25108,6573596,6573608
o,25109,6580258,6580270
o,25110,6586918,6586930
o,25111,6593580,6593592
o,25112,6600242,6600254
o,25113,6606904,6606916
o,25114,6613568,6613580
o,25115,6620228,6620240
o,25116,6626890,6626902
o,25117,6633484,6633496
o,25118,6640146,6640158
o,25119,6646808,6646820
o,25120,6653470,6653482
o,25121,6660134,6660146
o,25122,6666796,6666808
o,25123,6673456,6673468
o,25124,6680120,6680132
o,25125,6686940,6686952
o,25126,6693602,6693614
o,25127,6700264,6700276
o,25128,6706926,6706938
o,25129,6713356,6713368
o,25130,6720016,6720028
o,25131,6726678,6726690
o,25132,6733340,6733352
o,25133,6740002,6740014
o,25134,6746664,6746676
o,25135,6753322,6753334
o,25136,6759984,6759996
o,25137,6766644,6766656
o,25138,6773306,6773318
o,25139,6779968,6779980
o,25140,6786630,6786642
o,25141,6793292,6793304
o,25142,6799954,6799966
o,25143,6806616,6806628
o,25144,6813198,6813210
o,25145,6820692,6820704
o,25146,6827020,6827032
o,25147,6833682,6833694
o,25148,6840344,6840356
o,25149,6847006,6847018
o,25150,6853668,6853680
o,25151,6860328,6860340
o,25152,6866992,6867004
o,25153,6873654,6873666
o,25154,6880318,6880330
o,25155,6886978,6886990
o,25156,6893640,6893652
o,25157,6900302,6900314
o,25158,6906964,6906976
o,25159,6913626,6913638
o,25160,6920288,6920300
o,25161,6926950,6926962
o,25162,6933612,6933624
o,25163,6940274,6940286
o,25164,6946938,6946950
o,25165,6953600,6953612
o,25166,6960154,6960166
o,25167,6966816,6966828
o,25168,6973478,6973490
o,25169,6980140,6980152
o,25170,6986802,6986814
o,25171,6993464,6993476
o,25172,7000126,7000138
o,25173,7006788,7006800
o,25174,7013452,7013464
o,25175,7020112,7020124
o,25176,7026700,7026712
o,25177,7033362,7033374
o,25178,7040024,7040036
o,25179,7046686,7046698
o,25180,7053348,7053360
o,25181,7060010,7060022
o,25182,7066672,7066684
o,25183,7073334,7073346
o,25184,7079998,7080010
o,25185,7087174,7087186
o,25186,7093836,7093848
o,25187,7100498,7100510
o,25188,7107160,7107172
o,25189,7113822,7113834
o,25190,7120484,7120496
o,25191,7127146,7127158
o,25192,7133808,7133820
o,25193,7140470,7140482
o,25194,7147134,7147146
o,25195,7153794,7153806
o,25196,7160456,7160468
o,25197,7167118,7167130
o,25198,7173780,7173792
o,25199,7180442,7180454
o,25200,7187104,7187116
o,25201,7193612,7193624
o,25202,7200274,7200286
