o,20339,4975128,4975140
o,20340,4981790,4981802
o,20341,4988452,4988464
o,20342,4995114,4995126
o,20343,5001776,5001788
o,20344,5008438,5008450
o,20345,5015100,5015112
o,20346,5021760,5021772
o,20347,5028422,5028434
o,20348,5035084,5035096
o,20349,5041746,5041758
o,20350,5048408,5048420
o,20351,5055070,5055082
o,20352,5061890,5061902
o,20353,5068300,5068312
o,20354,5074962,5074974
o,20355,5081626,5081638
o,20356,5088286,5088298
o,20357,5094946,5094958
o,20358,5101608,5101620
o,20359,5108270,5108282
o,20360,5114932,5114944
o,20361,5121594,5121606
o,20362,5128256,5128268
o,20363,5134918,5134930
o,20364,5141580,5141592
o,20365,5148244,5148256
o,20366,5154904,5154916
o,20367,5161484,5161496
o,20368,5168146,5168158
o,20369,5174808,5174820
o,20370,5181468,5181480
o,20371,5188128,5188140
o,20372,5194792,5194804
o,20373,5201454,5201466
o,20374,5208114,5208126
o,20375,5214778,5214790
o,20376,5221438,5221450
o,20377,5228100,5228112
o,20378,5234762,5234774
o,20379,5241424,5241436
o,20380,5248084,5248098
o,20381,5254746,5254758
o,20382,5261408,5261420
EC, 273,7752,   0,8025
ER,7835, 182,   8
o,20383,5267980,5267992
o,20384,5274642,5274654
o,20385,5281306,5281318
o,20386,5287966,5287978
o,20387,5294628,5294640
o,20388,5301290,5301302
o,20389,5307952,5307964
o,20390,5314612,5314624
o,20391,5321274,5321286
o,20392,5327938,5327950
o,20393,5334598,5334610
o,20394,5341260,5341272
o,20395,5347924,5347936
o,20396,5354584,5354596
o,20397,5361246,5361258
o,20398,5367908,5367920
o,20399,5374570,5374582
o,20400,5381132,5381144
o,20401,5387794,5387806
o,20402,5394456,5394468
o,20403,5401118,5401130
o,20404,5407780,5407792
o,20405,5414444,5414456
o,20406,5421104,5421116
o,20407,5427766,5427778
o,20408,5434428,5434440
o,20409,5441088,5441100
o,20410,5447750,5447762
o,20411,5454412,5454424
o,20412,5461078,5461090
o,20413,5467740,5467752
o,20414,5474402,5474414
o,20415,5481066,5481078
o,20416,5487726,5487738
o,20417,5494388,5494400
o,20418,5501050,5501062
o,20419,5507712,5507724
o,20420,5514374,5514386
