o,35817,6357614,6357628
o,35818,6367860,6367874
o,35819,6378108,6378122
o,35820,6388236,6388250
o,35821,6398482,6398496
o,35822,6408732,6408744
o,35823,6418976,6418990
o,35824,6429222,6429236
o,35825,6439468,6439482
o,35826,6449714,6449728
o,35827,6459958,6459972
o,35828,6470204,6470218
o,35829,6480456,6480470
o,35830,6490702,6490716
o,35831,6500948,6500962
o,35832,6511194,6511208
o,35833,6521440,6521454
o,35834,6531686,6531700
o,35835,6541936,6541948
o,35836,6552180,6552194
o,35837,6562428,6562442
o,35838,6572676,6572688
EC, 226,9800,   0,10026
ER,9852, 165,   8
,35839,6582798,6582812
o,35840,6593044,6593058
o,35841,6603290,6603304
o,35842,6613540,6613554
o,35843,6623786,6623800
o,35844,6634030,6634044
o,35845,6644276,6644290
o,35846,6654522,6654536
o,35847,6664768,6664782
o,35848,6675018,6675030
a,35849,6685262,6685276
o,35850,6695510,6695524
o,35851,6705756,6705770
o,35852,6716002,6716016
o,35853,6726248,6726262
o,35854,6736396,6736410
o,35855,6746648,6746662
o,35856,6756894,6756908
o,35857,6767140,6767154
o,35858,6777386,6777400
o,35859,6787632,6787646
o,35860,6797878,6797892
o,35861,6808128,6808140
o,35862,6818372,6818386
o,35863,6828618,6828632
o,35864,6838864,6838878
o,35865,6849110,6849124
o,35866,6859356,6859370
o,35867,6869602,6869616
o,35868,6879854,6879868
o,35869,6889996,6890010
o,35870,6900242,6900256
o,35871,6910488,6910502
o,35872,6920734,6920748
o,35873,6930980,6930994
o,35874,6941230,6941242
o,35875,6951474,6951488
o,35876,6961720,6961734
o,35877,6971966,6971980
o,35878,6982212,6982226
o,35879,6992460,6992474
o,35880,7002706,7002720
o,35881,7012958,7012972
o,35882,7023204,7023218
o,35883,7033450,7033464
o,35884,7043696,7043710
o,35885,7053942,7053956
o,35886,7064188,7064202
o,35887,7074438,7074450
o,35888,7084682,7084696
o,35889,7094928,7094942
o,35890,7105174,7105188
o,35891,7115420,7115434
o,35892,7125666,7125680
o,35893,7135756,7135770
o,35894,7146008,7146022
o,35895,7156254,7156268
o,35896,7166500,7166514
o,35897,7176746,7176760
o,35898,7186992,7187006
o,35899,7197240,7197254
o,35900,7207488,7207500
o,35901,7217678,7217692
o,35902,7227926,7227938
EC, 251,10775,   0,11027
ER,10832, 186,   8
o,35903,7238170,7238184
o,35904,7248416,7248430
o,35905,7258662,7258676
o,35906,7268908,7268922
o,35907,7279158,7279172
o,35908,7289404,7289418
o,35909,7299596,7299610
o,35910,7309842,7309856
o,35911,7320088,7320102
o,35912,7330334,7330348
o,35913,7340584,7340596
o,35914,7350828,7350842
o,35915,7361074,7361088
o,35916,7371320,7371334
o,35917,7381566,7381580
o,35918,7391812,7391826
o,35919,7402060,7402074
o,35920,7412310,7412324
o,35921,7422556,7422570
o,35922,7432804,7432818
o,35923,7443050,7443064
o,35924,7453196,7453210
o,35925,7463440,7463454
o,35926,7473690,7473702
o,35927,7483934,7483948
o,35928,7494180,7494194
o,35929,7504426,7504440
o,35930,7514670,7514684
o,35931,7524914,7524928
o,35932,7535160,7535174
o,35933,7545412,7545426
o,35934,7555658,7555672
o,35935,7565836,7565850
o,35936,7576082,7576096
o,35937,7586328,7586342
o,35938,7596572,7596586
o,35939,7606824,7606836
o,35940,7617068,7617082
o,35941,7627314,7627328
o,35942,7637560,7637574
o,35943,7647806,7647820
o,35944,7658052,7658066
o,35945,7668298,7668312
o,35946,7678550,7678564
o,35947,7688796,7688810
o,35948,7699042,7699056
o,35949,7709288,7709302
o,35950,7719534,7719548
o,35951,7729676,7729690
o,35952,7739926,7739938
o,35953,7750170,7750184
o,35954,7760414,7760428
o,35955,7770660,7770674
o,35956,7780906,7780920
o,35957,7791152,7791166
o,35958,7801396,7801410
o,35959,7811648,7811662
o,35960,7821894,7821908
o,35961,7832140,7832154
o,35962,7842386,7842400
o,35963,7852632,7852646
o,35964,7862878,7862892
o,35965,7873130,7873142
o,35966,7883378,7883390
EC, 277,11750,   0,12027
ER,11812, 207,   8
o,35967,7893516,7893530
o,35968,7903762,7903776
o,35969,7914006,7914020
o,35970,7924252,7924266
o,35971,7934498,7934512
o,35972,7944750,7944764
o,35973,7954994,7955008
o,35974,7965238,7965252
o,35975,7975484,7975498
o,35976,7985730,7985744
o,35977,7995976,7995990
o,35978,8006160,8006172
o,35979,8016406,8016420
o,35980,8026652,8026666
o,35981,8036898,8036912
o,35982,8047144,8047158
o,35983,8057390,8057404
o,35984,8067636,8067650
o,35985,8077886,8077900
o,35986,8088132,8088146
o,35987,8098378,8098392
o,35988,8108624,8108638
o,35989,8118870,8118884
o,35990,8129038,8129052
o,35991,8139288,8139300
o,35992,8149532,8149546
o,35993,8159778,8159792
o,35994,8170024,8170038
o,35995,8180270,8180284
o,35996,8190516,8190530
o,35997,8200762,8200776
o,35998,8211014,8211028
o,35999,8221262,8221276
o,36000,8231508,8231522
o,36001,8241754,8241768
o,36002,8252000,8252014
o,36003,8262246,8262260
o,36004,8272494,8272506
o,36005,8282738,8282752
o,36006,8292984,8292998
o,36007,8303230,8303244
o,36008,8313356,8313370
o,36009,8323602,8323616
o,36010,8333848,8333862
o,36011,8344098,8344112
o,36012,8354344,8354358
o,36013,8364590,8364604
o,36014,8374836,8374850
o,36015,8385082,8385096
o,36016,8395328,8395342
o,36017,8405578,8405590
o,36018,8415822,8415836
o,36019,8426070,8426084
o,36020,8436240,8436254
o,36021,8446486,8446500
o,36022,8456732,8456746
o,36023,8466980,8466994
o,36024,8477228,8477242
o,36025,8487472,8487486
o,36026,8497718,8497732
o,36027,8507964,8507978
o,36028,8518210,8518224
o,36029,8528458,8528472
o,36030,8538708,8538722
EC, 302,12725,   0,13028
ER,12791, 228,   8
o,36031,8548952,8548966
o,36032,8559120,8559134
o,36033,8569366,8569380
o,36034,8579612,8579626
o,36035,8589858,8589872
o,36036,8600104,8600118
o,36037,8610356,8610370
o,36038,8620602,8620616
o,36039,8630850,8630864
o,36040,8641096,8641110
o,36041,8651342,8651356
o,36042,8661588,8661602
o,36043,8671836,8671848
o,36044,8682080,8682094
o,36045,8692326,8692340
o,36046,8702572,8702586
o,36047,8712818,8712832
o,36048,8723064,8723078
o,36049,8733310,8733324
o,36050,8743562,8743576
o,36051,8753808,8753822
o,36052,8764054,8764068
o,36053,8774300,8774314
o,36054,8784546,8784560
o,36055,8794792,8794806
o,36056,8805042,8805054
o,36057,8815286,8815300
o,36058,8825532,8825546
