o,33343,9092182,9092196
o,33344,9102428,9102442
o,33345,9112674,9112688
o,33346,9122922,9122936
o,33347,9133168,9133182
o,33348,9143418,9143432
o,33349,9153664,9153678
o,33350,9163910,9163924
o,33351,9174156,9174170
o,33352,9184404,9184418
EC, 303,13725,   0,14028
ER,13772, 247,   8
o,33353,9194650,9194664
o,33354,9204900,9204914
o,33355,9215146,9215160
t,28930,9220850,9220862
o,33356,9225228,9225242
o,33357,9235474,9235488
o,33358,9245720,9245734
o,33359,9255966,9255980
o,33360,9266212,9266226
o,33361,9276462,9276476
o,33362,9286668,9286682
o,33363,9296914,9296928
o,33364,9307160,9307174
o,33365,9317406,9317420
o,33366,9327652,9327666
o,33367,9337904,9337918
o,33368,9348150,9348164
o,33369,9358396,9358410
o,33370,9368642,9368656
o,33371,9378888,9378902
o,33372,9389138,9389152
o,33373,9399308,9399322
o,33374,9409558,9409572
o,33375,9419804,9419818
o,33376,9430050,9430064
o,33377,9440298,9440312
o,33378,9450544,9450558
o,33379,9460790,9460804
o,33380,9471040,9471054
o,33381,9481286,9481300
o,33382,9491472,9491486
o,33383,9501718,9501732
o,33384,9511964,9511978
o,33385,9522210,9522224
o,33386,9532474,9532488
o,33387,9542724,9542738
o,33388,9552970,9552984
o,33389,9563216,9563230
o,33390,9573462,9573476
o,33391,9583708,9583722
o,33392,9593954,9593968
o,33393,9604204,9604218
o,33394,9614450,9614464
o,33395,9624588,9624602
o,33396,9634834,9634848
o,33397,9645080,9645094
o,33398,9655326,9655340
o,33399,9665572,9665586
o,33400,9675822,9675836
o,33401,9686072,9686086
o,33402,9696318,9696332
o,33403,9706564,9706578
o,33404,9716810,9716824
o,33405,9727056,9727070
o,33406,9737510,9737524
o,33407,9747468,9747482
o,33408,9757712,9757726
o,33409,9767958,9767972
o,33410,9778204,9778218
o,33411,9788450,9788464
o,33412,9798696,9798710
o,33413,9808946,9808960
o,33414,9819148,9819162
o,33415,9829394,9829408
o,33416,9839640,9839654
EC, 330,14698,   0,15029
ER,14749, 271,   8
o,33417,9849884,9849898
o,33418,9860130,9860144
o,33419,9870380,9870394
o,33420,9880626,9880640
o,33421,9890874,9890888
o,33422,9901068,9901082
o,33423,9911314,9911328
o,33424,9921560,9921574
o,33425,9931806,9931820
o,33426,9942204,9942218
o,33427,9952450,9952464
o,33428,9962696,9962710
o,33429,9972748,9972762
o,33430,9982994,9983008
o,33431,9993240,9993254
o,33432,10003488,10003502
o,33433,10013734,10013748
o,33434,10023980,10023994
o,33435,10034226,10034240
o,33436,10044472,10044486
o,33437,10054718,10054732
o,33438,10064964,10064978
o,33439,10075214,10075228
o,33440,10085460,10085474
o,33441,10095706,10095720
o,33442,10105952,10105966
o,33443,10116198,10116212
o,33444,10126444,10126458
o,33445,10136694,10136708
o,33446,10146970,10146984
o,33447,10157216,10157230
o,33448,10167462,10167476
o,33449,10177708,10177722
o,33450,10187954,10187968
o,33451,10198200,10198214
o,33452,10208272,10208286
o,33453,10218518,10218532
o,33454,10228764,10228778
o,33455,10239010,10239024
o,33456,10249228,10249242
o,33457,10259474,10259488
o,33458,10269724,10269738
o,33459,10279970,10279984
o,33460,10290216,10290230
o,33461,10300462,10300476
o,33462,10310708,10310722
o,33463,10320954,10320968
o,33464,10331150,10331164
o,33465,10341392,10341406
o,33466,10351842,10351856
o,33467,10361870,10361884
o,33468,10372116,10372130
o,33469,10382362,10382376
o,33470,10392608,10392622
o,33471,10402856,10402870
a,33472,10413102,10413116
o,33473,10423348,10423362
o,33474,10433594,10433608
o,33475,10443840,10443854
o,33476,10454028,10454042
o,33477,10464274,10464288
o,33478,10474524,10474538
o,33479,10484770,10484784
o,33480,10495018,10495032
EC, 358,15671,   0,16029
ER,15725, 295,   8
o,33481,10505264,10505278
o,33482,10515510,10515524
o,33483,10525756,10525770
o,33484,10536006,10536020
o,33485,10546252,10546266
o,33486,10556430,10556444
o,33487,10566676,10566690
o,33488,10576922,10576936
o,33489,10587168,10587182
o,33490,10597388,10597402
o,33491,10607638,10607652
o,33492,10617888,10617902
o,33493,10628134,10628148
o,33494,10638380,10638394
o,33495,10648626,10648640
o,33496,10658872,10658886
o,33497,10669122,10669136
o,33498,10679368,10679382
o,33499,10689616,10689630
o,33500,10699862,10699876
o,33501,10710108,10710122
o,33502,10720354,10720368
o,33503,10730600,10730614
o,33504,10740850,10740864
o,33505,10751096,10751110
o,33506,10761406,10761420
o,33507,10771652,10771666
o,33508,10781708,10781722
o,33509,10791954,10791968
o,33510,10802202,10802216
o,33511,10812428,10812442
o,33512,10822676,10822690
o,33513,10832922,10832936
o,33514,10843168,10843182
o,33515,10853388,10853402
o,33516,10863634,10863648
o,33517,10873886,10873900
o,33518,10884132,10884146
o,33519,10894378,10894392
o,33520,10904624,10904638
o,33521,10914872,10914886
o,33522,10925118,10925132
o,33523,10935368,10935382
o,33524,10945616,10945630
o,33525,10955866,10955880
o,33526,10966144,10966158
o,33527,10976392,10976406
o,33528,10986640,10986654
o,33529,10996886,10996900
o,33530,11007136,11007150
o,33531,11017228,11017242
o,33532,11027474,11027488
o,33533,11037718,11037732
o,33534,11047964,11047978
,33535,11058210,11058224
o,33536,11068460,11068474
o,33537,11078706,11078720
o,33538,11088952,11088966
o,33539,11099198,11099212
o,33540,11109444,11109458
o,33541,11119690,11119704
o,33542,11129868,11129882
o,33543,11140118,11140132
o,33544,11150366,11150380
EC, 386,16643,   0,17030
ER,16700, 321,   8
o,33545,11160612,11160626
o,33546,11171104,11171118
o,33547,11181068,11181082
o,33548,11191312,11191326
o,33549,11201562,11201576
o,33550,11211808,11211822
o,33551,11222028,11222042
o,33552,11232276,11232290
o,33553,11242522,11242536
o,33554,11252768,11252782
o,33555,11263014,11263028
o,33556,11273264,11273278
o,33557,11283510,11283524
o,33558,11293756,11293770
o,33559,11304002,11304016
o,33560,11314248,11314262
o,33561,11324496,11324510
o,33562,11334746,11334760
o,33563,11344908,11344922
o,33564,11355154,11355168
o,33565,11365400,11365414
o,33566,11376012,11376026
o,33567,11386382,11386396
o,33568,11396630,11396644
o,33569,11406880,11406894
o,33570,11417126,11417140
o,33571,11427372,11427386
o,33572,11437618,11437632
o,33573,11447820,11447834
o,33574,11458066,11458080
o,33575,11468316,11468330
o,33576,11478562,11478576
o,33577,11488780,11488794
o,33578,11499026,11499040
o,33579,11509272,11509286
o,33580,11519518,11519532
o,33581,11529764,11529778
o,33582,11540014,11540028
o,33583,11550262,11550276
o,33584,11560508,11560522
o,33585,11570754,11570768
o,33586,11581002,11581016
o,33587,11591248,11591262
o,33588,11601498,11601512
o,33589,11611744,11611758
o,33590,11621990,11622004
o,33591,11632236,11632250
o,33592,11642482,11642496
o,33593,11652728,11652742
o,33594,11662974,11662988
